member,epoch,lr,lambda_phys,train_loss_total,train_loss_data,train_loss_swing,train_loss_smooth,val_loss_total,val_loss_data,val_loss_swing,val_loss_smooth
0,1,0.0003,0.1,0.1539332349643563,0.14485836706378244,0.0003974167721209615,0.9074868257298614,0.007752492546569556,0.007612760248593986,0.0003538339660735801,0.013973229145631195
0,2,0.0003,0.2,0.02406256878278171,0.023051877308524017,7.402262772210625e-05,0.10032890831129719,0.004468935559270903,0.004352026589913294,7.334086353694147e-06,0.01161756004439667
0,3,0.0003,0.3,0.01184598830613223,0.011355827656583955,1.3957549260404181e-05,0.04873691333664788,0.002995258889859542,0.0028851128910901023,2.4939253364664182e-06,0.010964723583310843
0,4,0.0003,0.4,0.008209473420536578,0.007852715336614184,1.0253279892500781e-05,0.035368213881597374,0.002480725006898865,0.0023720594588667156,1.1527784806730779e-06,0.010831970965955406
0,5,0.0003,0.5,0.0064252494937843746,0.006131583824753761,7.348105922610924e-06,0.029072644809881847,0.002521877730032429,0.0024187181843444705,5.967963815578514e-07,0.010292086144909262
0,6,0.0003,0.6,0.005344193311163572,0.00508986958161448,4.680534218987121e-06,0.025198349747994935,0.00240641177224461,0.002304711437318474,4.1110729540605464e-07,0.01014947979710996
0,7,0.0003,0.7,0.004574031740746865,0.004346356409686533,2.651791504317174e-06,0.02260842727440776,0.0028398784925229847,0.002735322224907577,3.4177642618260504e-07,0.010435121785849332
0,8,0.0003,0.8,0.004002452040128786,0.0037937141799678407,1.5006044961152995e-06,0.02076874216171828,0.0038836641237139703,0.0037778286670800297,2.4274797034706807e-07,0.010566555673722177
0,9,0.0003,0.9,0.0035710690750016105,0.0033781603566662532,9.42321885258475e-07,0.01921548696253637,0.004244236147496849,0.004135558888083324,1.8284397036438803e-07,0.010853100579697638
0,10,0.0003,1.0,0.0032098724746681523,0.00302875698826304,7.054959094676459e-07,0.018048055874503623,0.004821695981081575,0.004715113539714366,1.668986257641336e-07,0.010643216932658106
0,11,0.0003,1.0,0.0029283451560809456,0.002757506539123227,5.684511181859095e-07,0.017027017905028783,0.00520367183489725,0.005096430901903659,1.449864759806019e-07,0.010709592851344495
0,12,0.0003,1.0,0.002679720763211148,0.0025173222241603363,4.78046189013497e-07,0.016192049860502735,0.005516498198267073,0.005408074147999287,1.1995194579839107e-07,0.010830408101901412
0,13,0.0003,1.0,0.0024638782899751507,0.0023098189625983135,4.0295301253288263e-07,0.015365637029812794,0.004815128864720464,0.004709198768250644,9.763118367089873e-08,0.010583238361869007
0,14,0.0003,1.0,0.0022951131098612088,0.0021452764272595747,3.5091031466004326e-07,0.014948575842109594,0.005811156425625086,0.005704788921866566,8.724158178097241e-08,0.010628024232573807
0,15,0.00015,1.0,0.0021493327886223644,0.002004467449480235,3.011302771134216e-07,0.014456420798193325,0.007051737292204052,0.006943301809951663,7.502232364231532e-08,0.010836046549957245
0,16,0.00015,1.0,0.0020299029696469353,0.0018897614385368247,2.7070527713049436e-07,0.01398708377823685,0.006479709723498673,0.006370820885058493,7.31516058394277e-08,0.01088157284539193
0,17,0.00015,1.0,0.001977203593758697,0.0018380799500102346,2.541121590859279e-07,0.013886953459469357,0.006708908011205494,0.006600384670309723,6.827766734218698e-08,0.010845500812865793
0,18,0.00015,1.0,0.0019139057716749835,0.0017771695980407071,2.413649691515725e-07,0.013649481602690437,0.006891201029065997,0.006783815764356405,6.31354180491428e-08,0.010732220078352839
0,19,0.00015,1.0,0.0018594994367279038,0.001724860978999523,2.2121476995885638e-07,0.01344172494730564,0.007084748870693147,0.006976282631512731,5.846116781782484e-08,0.010840769240166992
