epoch,loss_total,loss_white,loss_prior,M_mean,D_mean,M_std
1,0.5087744566790959,0.49721562873273,0.23117657927592306,6.167258521356142,0.6169640278837977,0.7981274197571468
2,0.4951705988813781,0.483872406819151,0.22596383392085703,6.188218311091699,0.42995778549181574,0.7853965926779448
3,0.4951373643973738,0.48384183460343494,0.22591059392096063,6.187775585773218,0.4295291120771074,0.7851252872723442
4,0.4951210259086024,0.4838253294827004,0.22591392744849198,6.187638119189408,0.4304516339570356,0.7863893744574266
5,0.495108699675314,0.4838152548112428,0.22586891125806058,6.187424595918679,0.4325950369782691,0.7870507019134624
6,0.495099715399046,0.48380547500874876,0.22588481749532577,6.187497872215698,0.43330612097053345,0.7864298397752201
7,0.49509252955878735,0.4837979779118749,0.22589103360898302,6.187357632203113,0.43276454120366825,0.7871011457884108
8,0.4950880216130955,0.48379443440849185,0.22587175317416805,6.187321769060009,0.42726492553659307,0.7869951809119714
9,0.4950810960174477,0.4837875890833328,0.22587014015066073,6.187213820552594,0.41602804270683996,0.7874567457214179
10,0.4950835427808646,0.48378851701598385,0.22590050884406931,6.187226077935992,0.4110520189841008,0.787122040914503
11,0.4950779540477878,0.4837848106875037,0.2258628736410988,6.187024845694103,0.3754254435608277,0.7873152055734556
12,0.49507468239089286,0.48378047111405653,0.22588422738577618,6.187125868460848,0.36354748919207397,0.7877849961864397
13,0.4950712991746963,0.48377624788568546,0.22590102503697077,6.187108684920337,0.34884072965296514,0.7870518987196206
14,0.4950716636549237,0.4837773966165645,0.22588534888849932,6.186958695850233,0.3406487316654546,0.7880052921255719
15,0.4950663942997763,0.4837725304266542,0.22587727410877417,6.186965282816086,0.356167391631435,0.7875681465124562
16,0.49506514767805737,0.4837720401385695,0.22586215646380056,6.186918757547717,0.35732259028511903,0.787369691614977
17,0.49506489892655625,0.48376951060300905,0.22590778361996885,6.186996140909311,0.33712666182622425,0.7877083129981428
18,0.49506290387498203,0.4837691772303152,0.22587454309936278,6.186885896390372,0.3297395495802092,0.788402402923055
19,0.4950635137711708,0.48376872769382456,0.22589572662274623,6.186935023379732,0.3628052433730622,0.7874363420073424
20,0.4950620637177841,0.4837675016654379,0.22589124131884308,6.186884291270643,0.3363998428512809,0.787959711902623
21,0.49505911339663533,0.4837657347357766,0.22586756754313073,6.186847317827879,0.3246868947779175,0.7878982507399399
22,0.49505901184395285,0.48376466413629027,0.22588694806226559,6.186840343359323,0.3228892085035932,0.7881291575385416
23,0.4950584152174112,0.48376456726061456,0.22587695975228236,6.186815553047941,0.3235564772084972,0.7874853919167298
24,0.4950563288735647,0.48376243951256837,0.22587779004788458,6.18680935648526,0.31422624485046036,0.7883935444546442
25,0.49505643593713894,0.48376192873991897,0.22589015523810166,6.186837529323977,0.311276485540716,0.787840172902221
26,0.4950553673317253,0.48376160149446656,0.2258753305858504,6.186730849481847,0.3172748349516351,0.7882666262251907
27,0.4950562459926536,0.48376246246253196,0.22587567573263698,6.186763318495739,0.31389407712032613,0.7882712967784445
28,0.49505397224223235,0.4837590434980508,0.22589857675080752,6.186780576288265,0.3127110554789105,0.7880929922390448
29,0.4950540961647846,0.4837599631281085,0.22588266602687881,6.18673434570758,0.3168536502586954,0.7885344273562559
30,0.4950540737224031,0.4837597114036263,0.22588724173478547,6.186758678324901,0.3171169563874131,0.788562454663924
31,0.49505284330705657,0.4837584091654079,0.2258886727538422,6.186731714981896,0.3182558090654893,0.7883162001768748
32,0.49505256620346777,0.4837579240619121,0.22589284458952227,6.186710969665045,0.323110910771537,0.7888684763670548
33,0.49504994954505976,0.48375556579906576,0.2258876703878969,6.186711013172085,0.32524423275840836,0.7883988787803047
34,0.4950523102370492,0.48375772799018524,0.225891641021645,6.186705734897994,0.32856044307387366,0.7892462299397972
35,0.4950520547419569,0.4837576405410349,0.22588828102733097,6.18667837709116,0.3305399087948811,0.7888029492539501
36,0.49504878917604755,0.48375379085685793,0.2258999626313103,6.186698686177423,0.33330041487359074,0.7888164658035965
37,0.4950513134182515,0.48375663222912746,0.2258936152804797,6.186684618321069,0.33466555526221753,0.7886946940944143
38,0.4950505002716742,0.48375608349658566,0.2258883251507207,6.18667065488161,0.33718595024733067,0.7884875024757246
39,0.4950493066560323,0.4837542542430896,0.22590103665697603,6.1866581909847955,0.34027916341657477,0.7887076943605196
40,0.4950493494016991,0.48375457296841334,0.22589553145741603,6.186660487576413,0.3422974436169993,0.7880816645285799
41,0.4950494212608268,0.4837543754827077,0.22590090111441855,6.186680028038303,0.34452770518052894,0.7883184485481893
42,0.49505058297130605,0.48375573562154517,0.22589695587790506,6.186650339414314,0.34581785487722594,0.7886541069569089
43,0.4950483143692179,0.4837534795639869,0.22589670069098763,6.186643778552684,0.3480179480791382,0.7879750051347588
44,0.49504759037581675,0.4837525958634931,0.22589988049364437,6.186656315541326,0.3498740297472535,0.7885065959027794
45,0.495048119131376,0.48375345396734504,0.22589329566688723,6.186639101255839,0.3510272165175772,0.788387392486679
46,0.4950488944268285,0.4837538364304823,0.22590115481484546,6.1866463414073865,0.3519229018231378,0.7888720913670069
47,0.495049794224927,0.4837546666173169,0.22590255012187355,6.186660765441375,0.3533620185733132,0.7887518503080029
48,0.49504871844085174,0.48375385394206594,0.22589729041078666,6.186640856619879,0.35425513803306286,0.7891256529339329
49,0.4950474966906573,0.48375233260964534,0.2259032877656085,6.186640594997545,0.3548698886467593,0.7889476781053845
50,0.49504837640300575,0.4837531782052233,0.22590395909736335,6.186652844259629,0.35553585137909055,0.7883728094344592
